Title,Hours,Week,URL
Week 1 Udemy - March 2,,,,
Introduction - AWS Certified Solutions Architect Associate,0.25,1,https://www.udemy.com/course/aws-certified-solutions-architect-associate-saa-c03/
Code & Slides Download,0.02,1,
Getting started with AWS,0.22,1,
IAM & AWS CLI,0.95,1,https://docs.aws.amazon.com/IAM/latest/UserGuide/
EC2 Fundamentals,1.65,1,
EC2 - Solutions Architect Associate Level,0.57,1,
EC2 Instance Storage,0.98,1,
-- Total hours,4.64,1,
,,,,
Week 2 Udemy - March 9,,,,
High Availability and Scalability: ELB & ASG,1.57,2,
AWS Fundamentals: RDS + Aurora + ElastiCache,1.17,2,
Route 53,1.42,2,https://docs.aws.amazon.com/Route53/latest/DeveloperGuide/
Classic Solutions Architecture Discussions,0.72,2,
-- Total hours,4.88,2,
,,,,
Week 3 Udemy - March 16,,,,
Amazon S3 Introduction,0.83,3,
Advanced Amazon S3,0.5,3,
Amazon S3 Security,0.88,3,
CloudFront & AWS Global Accelerator,0.55,3,
AWS Storage Extras,0.63,3,
"Decoupling applications: SQS, SNS, Kinesis, Active MQ",1.35,3,
-- Total hours,4.74,3,
,,,,
Week 4 Udemy - March 23,,,,
"Containers on AWS: ECS, Fargate, ECR & EKS",0.92,4,
Serverless Overviews from a Solution Architect Perspective,1.38,4,
Serverless Solution Architecture Discussions,0.27,4,
Databases in AWS,0.42,4,
Data & Analytics,0.8,4,
Machine Learning,0.43,4,
-- Total hours,4.22,4,
,,,,
Week 5 Udemy - March 30,,,,
"AWS Monitoring & Audit: CloudWatch, CloudTrail & Config",1.25,5,
Identity and Access Management (IAM) - Advanced,0.82,5,
"AWS Security & Encryption: KMS, SSM Parameter Store, Shield, WAF",1.42,5,
Disaster Recovery & Migrations,0.73,5,
-- Total hours,4.22,5,
,,,,
Week 6 Udemy - April 6,,,,
Networking - VPC,2.63,6,
More Solution Architectures,0.45,6,
Other Services,0.8,6,
WhitePapers and Architectures - AWS Certified Solutions Architect Associate,0.25,6,
Preparing for the Exam + Practice Exam - AWS Certified Solutions Architect Assoc,0.28,6,
-- Total hours,4.41,6,
,,,,
Week 7 AWS Review - April 13,,,,
Domain 1: Design Secure Architectures - Review,0.75,7,
Domain 1: Design Secure Architectures - Practice,0.5,7,
Domain 2: Design Resilient Architectures - Review,0.75,7,
Domain 2: Design Resilient Architectures - Practice,1,7,
Domain 3: Design High-Performing Architectures - Review,0.75,7,
Domain 3: Design High-Performing Architectures - Practice,0.5,7,
Domain 4: Design Cost-Optimized Architectures - Review,0.75,7,
Domain 4: Design Cost-Optimized Architectures - Practice,0.5,7,
-- Total hours,5.5,7,
,,,,
Week 8 AWS Practice Exams - April 20,,,,
Udemy Practice Exam,2,8,
Official Practice Exam,2,8,
Take exam!,2,8,
-- Total hours,6,8,